id,rh98
1,1718.5616
2,1912.2042
3,1985.4988
4,589.6267
5,1993.9382
6,1970.4587
7,2203.4214
8,2388.4949
9,749.4495
10,2822.315
11,1523.4333
12,1460.7166
13,2527.1582
14,2094.421
15,819.35815
16,361.79144
17,392.80167
18,1803.9558
19,914.5191
20,1656.3536
21,461.96707
22,2356.7468
23,1764.5969
24,1814.1223
25,631.99774
26,263.92352
27,2920.476
28,2430.5132
29,627.2015
30,1480.3601
31,1952.0422
32,1207.8927
33,1979.3987
34,1780.8662
35,2652.7725
36,3311.205
37,3190.868
38,2598.5571
39,1681.1279
40,2472.6626
41,804.64606
42,1922.3654
43,2758.9277
44,2850.921
45,2279.0679
46,740.74695
47,1829.8958
48,1577.7125
49,1150.3005
50,2466.1929
51,1000.93024
52,1550.946
53,441.3412
54,1234.3455
55,316.49084
56,2847.5186
57,1633.0049
58,1850.6416
59,1513.2236
60,3124.7495
61,1234.771
62,1348.0977
63,2481.4038
64,1832.5071
65,2120.8608
66,2806.671
67,1744.2297
68,658.5932
69,1482.9048
70,365.8455
71,1416.7029
72,1467.7302
73,2328.0376
74,2189.6938
75,2140.6038
76,606.0887
77,1924.8005
78,2317.463
79,2331.476
80,2983.4033
81,910.6711
82,2700.3838
83,2362.1074
84,2285.486
85,2200.7356
86,681.12115
87,2110.1196
88,2650.3032
89,2735.2993
90,1104.464
91,1850.9124
92,504.44833
93,1031.7568
94,987.8244
95,1111.9071
96,2835.917
97,1850.8235
98,2489.7964
99,2201.1692
100,2624.2341
101,2989.6882
102,2176.5488
103,555.05316
104,1617.8364
105,2151.4688
106,2461.3242
107,2586.5183
108,2596.7463
109,2131.6174
110,1937.2213
111,1572.8018
112,491.90625
113,2496.085
114,2103.7466
115,1394.9819
116,1830.6761
117,1561.122
118,1849.162
119,1847.2373
120,2171.645
121,1700.9534
122,2000.2041
123,1762.9832
124,844.6191
125,2806.0083
126,2261.7173
127,1123.3413
128,2024.1343
129,1697.6184
130,1598.2642
131,1009.9868
132,534.92474
133,1293.5109
134,1852.2388
135,1676.002
136,375.8525
137,1828.9008
138,2114.4006
139,2015.4382
140,1566.7322
141,1574.0859
142,746.81714
143,2908.7627
144,2756.0354
145,1726.5254
146,2851.6929
147,2932.6543
148,1692.2682
149,2104.044
150,2590.565
151,1215.8873
152,461.10226
153,2375.543
154,1820.8589
155,2551.2114
156,2654.6384
157,404.62845
158,733.6612
159,2038.384
160,2460.0508
161,2710.1384
162,1954.7229
163,357.46188
164,717.1655
165,2467.669
166,1781.47
167,1095.6923
168,2651.354
169,2245.1025
170,1253.3638
171,1211.0615
172,1829.9689
173,542.9048
174,1875.7056
175,1868.7229
176,1188.3013
177,1501.6108
178,3029.4028
179,2121.5544
180,454.25095
181,568.01324
182,689.53925
183,1866.5693
184,379.5625
185,555.9646
186,1137.0898
187,2073.7295
188,2059.2358
189,3274.7761
190,2779.5188
191,1652.9564
192,2875.563
193,1987.0552
194,1796.6039
195,1807.7534
196,2667.7578
197,2326.894
198,1864.7458
199,2201.2827
200,1596.5306
201,1997.2998
202,1995.1555
203,1052.576
204,1132.2892
205,1579.3296
206,2357.975
207,1852.7148
208,1018.28925
209,1886.7219
210,2724.778
211,1261.5835
212,2018.7858
213,1211.0786
214,812.1924
215,2170.1597
216,1706.6584
217,2153.355
218,743.4301
219,864.4948
220,845.93365
221,760.3923
222,840.4391
223,2436.9487
224,2285.4941
225,1120.4244
226,1941.679
227,2323.7458
228,2019.3048
229,866.98035
230,2453.8196
231,571.422
232,1837.6659
233,823.33777
234,2567.696
235,1799.0149
236,1884.5884
237,1441.7207
238,1134.4106
239,2108.6663
240,1715.2361
241,1868.4634
242,1167.5498
243,2146.9478
244,573.4206
245,1734.3367
246,1541.9363
247,2091.4436
248,686.847
249,440.27798
250,1517.5002
251,2552.977
252,979.69934
253,2587.3892
254,2954.046
255,1161.6646
256,2369.8457
257,919.79565
258,393.11395
259,1432.9823
260,2187.9973
261,2542.0864
262,1572.8308
263,2159.106
264,844.3017
265,1355.9878
266,418.38846
267,1566.9457
268,1010.62616
269,1019.294
270,2219.8154
271,2824.0107
272,2135.83
273,1798.2444
274,1660.8773
275,1464.7747
276,2153.7256
277,1661.5459
278,949.8475
279,1888.3022
280,1134.6686
281,1441.4598
282,2558.8037
283,2175.308
284,2309.1553
285,719.606
286,646.74536
287,493.87393
288,2440.9001
289,2925.6047
290,2140.2432
291,2443.2446
292,1372.4846
293,1470.572
294,2760.7207
295,727.47845
296,2134.7852
297,1283.0642
298,1685.7488
299,945.84656
300,883.23376
301,1686.5464
302,1369.7573
303,2388.0186
304,1219.7189
305,1030.8174
306,1692.003
307,1191.7094
308,646.0159
309,1203.7101
310,467.1361
311,1742.2007
